01.06.2018,0,0
01.06.2018,0,0
01.06.2018,0,0
01.06.2018,0,0
01.06.2018,1,1
01.06.2018,1,1
01.06.2018,2,2
01.06.2018,2,2
01.06.2018,3,3
01.06.2018,4,4
01.06.2018,5,5
01.06.2018,6,6
01.06.2018,6,6
01.06.2018,6,6
01.06.2018,7,7
01.06.2018,7,7
01.06.2018,7,7
01.06.2018,8,8
01.06.2018,9,9
01.06.2018,9,9
01.06.2018,10,10
01.06.2018,11,11
01.06.2018,11,11
01.06.2018,11,11
01.06.2018,11,11
01.06.2018,12,12
01.06.2018,13,13
01.06.2018,13,13
01.06.2018,13,13
01.06.2018,13,13
02.06.2018,14,14
02.06.2018,14,14
02.06.2018,14,14
02.06.2018,15,15
02.06.2018,15,15
02.06.2018,15,15
02.06.2018,15,15
02.06.2018,16,16
02.06.2018,17,17
02.06.2018,17,17
02.06.2018,17,17
02.06.2018,17,17
02.06.2018,18,18
02.06.2018,18,19
02.06.2018,18,19
02.06.2018,18,19
02.06.2018,18,19
02.06.2018,19,20
03.06.2018,20,21
03.06.2018,20,21
03.06.2018,21,22
03.06.2018,22,23
03.06.2018,22,23
03.06.2018,23,24
03.06.2018,23,24
03.06.2018,24,25
03.06.2018,24,25
03.06.2018,24,25
03.06.2018,24,25
03.06.2018,25,26
03.06.2018,25,26
03.06.2018,26,27
03.06.2018,26,27
03.06.2018,26,27
03.06.2018,27,28
03.06.2018,27,28
03.06.2018,27,28
03.06.2018,27,28
03.06.2018,28,29
03.06.2018,28,29
03.06.2018,28,29
03.06.2018,28,29
03.06.2018,29,30
03.06.2018,29,30
03.06.2018,29,30
04.06.2018,0,31
04.06.2018,0,31
04.06.2018,0,31
04.06.2018,0,31
04.06.2018,30,32
04.06.2018,30,32
04.06.2018,30,32
04.06.2018,30,32
04.06.2018,31,33
04.06.2018,32,34
04.06.2018,32,34
04.06.2018,32,34
04.06.2018,33,35
04.06.2018,33,35
04.06.2018,33,35
04.06.2018,34,36
04.06.2018,35,37
04.06.2018,35,37
04.06.2018,36,38
05.06.2018,3,39
05.06.2018,3,39
05.06.2018,3,39
05.06.2018,28,40
05.06.2018,28,40
05.06.2018,28,40
05.06.2018,32,41
05.06.2018,33,42
05.06.2018,33,42
05.06.2018,33,42
05.06.2018,34,43
05.06.2018,34,43
05.06.2018,34,43
05.06.2018,34,43
05.06.2018,37,44
05.06.2018,37,44
05.06.2018,38,45
05.06.2018,38,45
05.06.2018,38,45
05.06.2018,38,45
05.06.2018,39,46
05.06.2018,40,47
05.06.2018,40,47
05.06.2018,40,47
05.06.2018,41,48
05.06.2018,42,49
05.06.2018,42,49
05.06.2018,42,49
05.06.2018,42,49
06.06.2018,5,50
06.06.2018,5,50
06.06.2018,5,50
06.06.2018,5,50
06.06.2018,5,51
06.06.2018,5,51
06.06.2018,5,51
06.06.2018,17,52
06.06.2018,22,53
06.06.2018,22,53
06.06.2018,31,54
06.06.2018,43,55
06.06.2018,43,55
06.06.2018,43,55
06.06.2018,44,56
06.06.2018,44,56
06.06.2018,44,56
06.06.2018,44,56
06.06.2018,45,57
06.06.2018,45,57
06.06.2018,45,57
06.06.2018,45,57
